0,60,1441487,20263.02060192544,0
0,6105,1061307,146865.0930538075,0
0,2341,757579,73486.85264045838,0
0,1712,627647,44226.99337563908,0
0,2337,1070699,8551.66895912413,0
6578,60,1,0.03799999877810478,0
6578,6105,213,31.97600118815899,0
6578,2341,286,49.290747959166765,0
6578,1712,9226,149.7516998881474,0
6578,2337,1,0.06199999898672104,0
11270,60,1,0.06599999964237213,0
11270,6105,0,0.0,66
11270,2341,173,34.9362510740757,10652
11270,1712,26394,894.4568116699811,33028
11270,2337,0,0.0,0
10562,60,1,0.27300000190734863,0
10562,6105,625,93.86088046431541,125626
10562,2341,9559,844.3660924471915,54807
10562,1712,942,45.245719975209795,37371
10562,2337,0,0.0,0
11614,60,0,0.0,0
11614,6105,12676,1814.828945375979,18862
11614,2341,15221,1458.899788454175,20862
11614,1712,6463,987.5675792363472,16220
11614,2337,0,0.0,0
9215,60,3004,36.861840336583555,0
9215,6105,0,0.0,0
9215,2341,1,0.015030999667942524,0
9215,1712,229,1.094640017603524,0
9215,2337,1631,14.993840007809922,0
